Commodity name,Commodity code,NIC group,NIC group description
(A)  Food Products,1301000000,101,Processing and preserving of mea
(A)  Food Products,1301000000,102,"Processing and preserving of fish, crustaceans and molluscs"
(A)  Food Products,1301000000,103,Processing and preserving of fruit and vegetable
(A)  Food Products,1301000000,104,Manufacture of vegetable and animal oils and fats
(A)  Food Products,1301000000,105,Manufacture of dairy products
(A)  Food Products,1301000000,106,"Manufacture of grain mill products, starches and starch products"
(A)  Food Products,1301000000,107,Manufacture of other food products
(A)  Food Products,1301000000,108,Manufacture of prepared animal feeds
(B)  Beverages Tobacco & Tobacco Products,1302000000,110,Manufacture of beverages
(B)  Beverages Tobacco & Tobacco Products,1302000000,120,Manufacture of tobacco products [ tobacco related products are also included while preliminary processing of tobacco leaves is classified in class 0111]
(C)  Textiles,1303000000,131,"Spinning, weaving and finishing of textiles."
(C)  Textiles,1303000000,139,Manufacture of other textiles
(C)  Textiles,1303000000,143,Manufacture of knitted and crocheted fabrics and articles
(C)  Textiles,1303000000,141,"Manufacture of wearing apparel, except fur apparel [this class includes manufacture of wearing apparel made of material not made in the same unit. Both regular and contract activities are included]"
(C)  Textiles,1303000000,142,Dressing and dyeing of fur; manufacture of articles of fur
(F)  Leather & Leather Products,1306000000,151,"Tanning and dressing of leather, manufacture of luggage handbags, saddlery & harness."
(F)  Leather & Leather Products,1306000000,152,Manufacture of footwear.
(D)  Wood & Wood Products,1304000000,161,Saw milling and planing of wood
(D)  Wood & Wood Products,1304000000,162,"Manufacture of products of wood, cork, straw and plaiting materials"
(E)  Paper & Paper Products,1305000000,170,Manufacture of paper and paper product
(E)  Paper & Paper Products,1305000000,581,"Publishing [This group includes publishing whether or not connected with publishing. Publishing involves financial, technical, artistic, legal and marketing activities, among others but not predominantly]"
(E)  Paper & Paper Products,1305000000,181,Printing and service activities related to printing
(E)  Paper & Paper Products,1305000000,182,"Reproduction of recorded media [This class includes reproduction of records, audio, video and computer tapes from master copies, reproduction of floppy, hard or compact disks, reproduction of non-customised software and film duplicating]"
